"Date","Price","Open","High","Low","Change %"
"Oct 11, 2019","78.3215","78.1635","78.5695","77.9875","0.20%"
"Oct 10, 2019","78.1635","78.1180","78.4280","77.9395","0.18%"
"Oct 09, 2019","78.0260","78.0360","78.1710","77.8960","-0.00%"
"Oct 08, 2019","78.0285","77.8695","78.2805","77.8265","0.21%"
"Oct 07, 2019","77.8675","77.7345","78.1015","77.7065","0.15%"
"Oct 04, 2019","77.7515","77.8715","78.0205","77.6785","-0.18%"
"Oct 03, 2019","77.8915","77.9735","78.2075","77.6305","-0.10%"
"Oct 02, 2019","77.9730","77.7370","78.0170","77.5200","0.30%"
"Oct 01, 2019","77.7375","77.0165","77.8355","76.9155","0.95%"
"Sep 30, 2019","77.0030","77.1250","77.4640","76.9360","-0.16%"
"Sep 27, 2019","77.1295","77.4925","77.5235","76.8935","-0.49%"
"Sep 26, 2019","77.5070","77.6750","77.8840","77.4350","-0.23%"
"Sep 25, 2019","77.6820","78.2100","78.2950","77.6470","-0.68%"
"Sep 24, 2019","78.2100","77.8400","78.2620","77.7320","0.49%"
"Sep 23, 2019","77.8295","78.2935","78.3725","77.7505","-0.61%"
"Sep 20, 2019","78.3105","78.8155","78.9515","78.1075","-0.63%"
"Sep 19, 2019","78.8050","78.4550","79.0120","78.4050","0.42%"
"Sep 18, 2019","78.4730","79.1520","79.1800","78.3520","-0.86%"
"Sep 17, 2019","79.1575","78.7315","79.3265","78.7165","0.51%"
"Sep 16, 2019","78.7525","78.7515","79.3895","78.6305","0.17%"
"Sep 13, 2019","78.6160","78.5040","78.9980","78.4210","0.13%"
"Sep 12, 2019","78.5105","78.8135","78.8675","77.7585","-0.38%"
"Sep 11, 2019","78.8065","79.4035","79.4895","78.7135","-0.72%"
"Sep 10, 2019","79.3750","79.2570","79.4880","79.1670","0.09%"
"Sep 09, 2019","79.3000","78.9960","79.4020","78.8760","0.36%"
"Sep 06, 2019","79.0170","79.3670","79.4090","78.9560","-0.45%"
"Sep 05, 2019","79.3730","79.4320","79.6380","79.1640","-0.09%"
"Sep 04, 2019","79.4465","79.2105","79.4915","79.0645","0.31%"
"Sep 03, 2019","79.1995","78.9425","79.3155","78.6615","0.33%"
"Sep 02, 2019","78.9360","78.5430","79.1080","78.5000","0.51%"
"Aug 30, 2019","78.5340","79.2650","79.3500","78.3330","-0.93%"
"Aug 29, 2019","79.2675","79.5455","79.9305","79.1495","-0.38%"
"Aug 28, 2019","79.5685","79.3535","79.7525","79.2525","0.28%"
"Aug 27, 2019","79.3450","79.9750","80.0080","79.1790","-0.77%"
"Aug 26, 2019","79.9620","79.6980","80.5860","79.5980","0.33%"
"Aug 23, 2019","79.6975","79.6885","79.7615","79.1945","0.00%"
"Aug 22, 2019","79.6950","79.1960","79.8970","79.1880","0.64%"
"Aug 21, 2019","79.1910","79.4190","79.5100","79.1620","-0.29%"
"Aug 20, 2019","79.4230","79.1570","79.5950","79.1500","0.34%"
"Aug 19, 2019","79.1535","78.9335","79.3955","78.8085","0.31%"
"Aug 16, 2019","78.9110","79.7460","79.7890","78.6970","-1.06%"
"Aug 15, 2019","79.7555","79.4025","80.0355","79.3675","0.46%"
"Aug 14, 2019","79.3935","79.7655","79.8375","79.1375","-0.48%"
"Aug 13, 2019","79.7780","79.9280","80.2610","79.4610","-0.19%"
"Aug 12, 2019","79.9295","79.5905","80.1085","79.3265","0.62%"
"Aug 09, 2019","79.4355","78.7455","79.6055","78.7385","0.90%"
"Aug 08, 2019","78.7295","79.6695","79.8175","78.7085","-1.19%"
"Aug 07, 2019","79.6750","79.5630","80.0440","79.0770","0.14%"
"Aug 06, 2019","79.5645","79.3335","79.6725","78.8845","0.29%"
"Aug 05, 2019","79.3375","77.3855","79.4075","77.3855","2.46%"
"Aug 02, 2019","77.4300","76.5030","77.4580","76.4000","1.21%"
"Aug 01, 2019","76.5060","76.2840","76.5890","75.9940","0.29%"
"Jul 31, 2019","76.2860","76.8130","76.9310","76.1750","-0.69%"
"Jul 30, 2019","76.8150","76.6330","76.8930","76.4870","0.25%"
"Jul 29, 2019","76.6240","76.6340","76.7450","76.3480","-0.02%"
"Jul 26, 2019","76.6430","76.9580","77.1100","76.5500","-0.41%"
"Jul 25, 2019","76.9605","76.8465","77.2205","76.4765","0.15%"
"Jul 24, 2019","76.8440","76.9720","77.0350","76.7510","-0.19%"
"Jul 23, 2019","76.9925","77.2775","77.3255","76.8885","-0.36%"
"Jul 22, 2019","77.2710","77.2470","77.4980","77.1780","-0.01%"
"Jul 19, 2019","77.2750","77.6530","77.6950","77.1060","-0.48%"
"Jul 18, 2019","77.6475","77.2605","77.6825","77.2075","0.49%"
"Jul 17, 2019","77.2725","76.9645","77.3515","76.9325","0.40%"
"Jul 16, 2019","76.9635","77.1735","77.2815","76.9285","-0.26%"
"Jul 15, 2019","77.1675","77.2475","77.3785","77.0955","-0.14%"
"Jul 12, 2019","77.2740","76.9960","77.3450","76.9750","0.37%"
"Jul 11, 2019","76.9890","76.9600","77.2210","76.9200","0.01%"
"Jul 10, 2019","76.9785","76.8535","77.1605","76.7825","0.17%"
"Jul 09, 2019","76.8475","76.9065","77.2345","76.7395","-0.06%"
"Jul 08, 2019","76.8905","76.8245","77.2445","76.7895","0.07%"
"Jul 05, 2019","76.8350","77.3170","77.5710","76.7560","-0.64%"
"Jul 04, 2019","77.3330","77.6020","77.7710","77.2380","-0.33%"
"Jul 03, 2019","77.5925","77.7355","77.8885","77.5485","-0.19%"
"Jul 02, 2019","77.7420","77.7490","78.1080","77.6860","0.00%"
"Jul 01, 2019","77.7400","78.3940","78.4210","77.6990","-0.84%"
"Jun 28, 2019","78.3960","78.5340","78.7120","78.2390","-0.20%"
"Jun 27, 2019","78.5495","78.7315","78.7705","78.4285","-0.23%"
"Jun 26, 2019","78.7280","78.7910","78.9480","78.5150","-0.10%"
"Jun 25, 2019","78.8045","78.9705","79.1465","78.6365","-0.20%"
"Jun 24, 2019","78.9640","79.1000","79.2880","78.8630","-0.22%"
"Jun 21, 2019","79.1385","78.5035","79.1865","78.4755","0.80%"
"Jun 20, 2019","78.5090","78.1890","78.6810","78.1890","0.41%"
"Jun 19, 2019","78.1890","77.9070","78.3850","77.7910","0.35%"
"Jun 18, 2019","77.9145","78.3655","78.5445","77.8385","-0.57%"
"Jun 17, 2019","78.3580","78.3070","78.5910","78.2190","0.10%"
"Jun 14, 2019","78.2760","78.4440","78.7100","78.2270","-0.17%"
"Jun 13, 2019","78.4095","78.3205","78.5625","78.2765","0.11%"
"Jun 12, 2019","78.3210","78.5890","78.7440","78.2720","-0.39%"
"Jun 11, 2019","78.6240","78.6500","78.7160","78.4760","-0.07%"
"Jun 10, 2019","78.6755","78.5415","78.8195","78.4515","0.10%"
"Jun 07, 2019","78.6000","77.9910","78.8640","77.8710","0.78%"
"Jun 06, 2019","77.9905","77.9125","78.2875","77.6965","0.17%"
"Jun 05, 2019","77.8570","77.9620","78.3910","77.8430","-0.14%"
"Jun 04, 2019","77.9665","77.7515","78.1465","77.6135","0.27%"
"Jun 03, 2019","77.7550","77.7140","77.9070","77.3630","-0.08%"
"May 31, 2019","77.8145","77.7525","77.9855","77.5715","0.12%"
"May 30, 2019","77.7190","77.7340","77.9260","77.5960","-0.03%"
"May 29, 2019","77.7445","77.6815","78.1215","77.6495","0.07%"
"May 28, 2019","77.6880","77.8310","78.0760","77.6520","-0.19%"
"May 27, 2019","77.8340","77.6780","77.9710","77.6290","0.13%"
"May 24, 2019","77.7365","77.9155","78.0795","77.6845","-0.20%"
"May 23, 2019","77.8890","77.6510","78.0350","77.3440","0.27%"
"May 22, 2019","77.6775","77.7635","77.9625","77.6495","-0.06%"
"May 21, 2019","77.7270","77.7650","77.9960","77.6390","-0.04%"
"May 20, 2019","77.7570","78.4490","78.5260","77.3890","-0.86%"
"May 17, 2019","78.4290","78.3580","78.5720","78.2700","0.08%"
"May 16, 2019","78.3630","78.6820","78.8530","78.3070","-0.42%"
"May 15, 2019","78.6930","78.8600","78.9540","78.5990","-0.21%"
"May 14, 2019","78.8595","79.2245","79.3615","78.7295","-0.44%"
"May 13, 2019","79.2075","78.6905","79.5035","78.6065","0.69%"
"May 10, 2019","78.6620","78.7850","78.8550","78.2760","-0.09%"
"May 09, 2019","78.7365","78.0375","79.0765","77.9905","0.91%"
"May 08, 2019","78.0270","77.9240","78.2070","77.8150","0.11%"
"May 07, 2019","77.9395","77.6975","77.9745","77.5945","0.31%"
"May 06, 2019","77.6990","77.4000","77.8210","77.1030","0.39%"
"May 03, 2019","77.4005","77.5935","77.6425","77.1165","-0.24%"
"May 02, 2019","77.5900","77.8950","78.0780","77.5060","-0.35%"
"May 01, 2019","77.8625","78.1355","78.3565","77.8065","-0.32%"
"Apr 30, 2019","78.1090","78.0910","78.2760","77.9620","0.01%"
"Apr 29, 2019","78.0975","77.9185","78.1395","77.8155","0.28%"
"Apr 26, 2019","77.8760","78.0990","78.2340","77.8010","-0.30%"
"Apr 25, 2019","78.1130","78.0750","78.3780","77.9630","0.10%"
"Apr 24, 2019","78.0335","78.3385","78.4895","77.9425","-0.39%"
"Apr 23, 2019","78.3415","78.4645","78.6075","78.1135","-0.17%"
"Apr 22, 2019","78.4785","78.0645","78.5705","77.9545","0.52%"
"Apr 19, 2019","78.0720","78.0030","78.1070","77.9270","0.17%"
"Apr 18, 2019","77.9375","78.4305","78.5595","77.9025","-0.63%"
"Apr 17, 2019","78.4335","78.4475","78.6865","78.3945","-0.00%"
"Apr 16, 2019","78.4370","78.4380","78.7910","78.3840","-0.06%"
"Apr 15, 2019","78.4825","78.1945","78.6645","78.1015","0.36%"
"Apr 12, 2019","78.2020","77.6790","78.4150","77.6650","0.69%"
"Apr 11, 2019","77.6645","77.9565","78.0875","77.5995","-0.37%"
"Apr 10, 2019","77.9565","78.0125","78.2335","77.6535","-0.09%"
"Apr 09, 2019","78.0265","78.3905","78.5655","78.0125","-0.38%"
"Apr 08, 2019","78.3255","77.5895","78.4955","77.5545","0.96%"
"Apr 05, 2019","77.5810","77.4160","77.8920","77.3750","0.23%"
"Apr 04, 2019","77.4025","76.8905","77.7205","76.8765","0.65%"
"Apr 03, 2019","76.9000","77.2080","77.4170","76.7810","-0.42%"
"Apr 02, 2019","77.2250","77.6220","77.7380","76.9660","-0.48%"
"Apr 01, 2019","77.5995","77.6155","77.9935","77.5135","-0.02%"
"Mar 29, 2019","77.6115","77.6155","77.8345","77.5225","-0.11%"
"Mar 28, 2019","77.6970","77.7510","78.0290","77.5020","0.00%"
"Mar 27, 2019","77.6960","77.7440","77.9950","77.4920","-0.05%"
"Mar 26, 2019","77.7310","77.9360","78.0920","77.7100","-0.26%"
"Mar 25, 2019","77.9350","78.2800","78.3140","77.8400","-0.41%"
"Mar 22, 2019","78.2590","78.2640","78.4280","77.7960","-0.01%"
"Mar 21, 2019","78.2645","78.5095","78.6945","77.9485","-0.32%"
"Mar 20, 2019","78.5135","78.3485","78.7675","77.9955","0.22%"
"Mar 19, 2019","78.3420","77.8040","78.4650","77.5560","0.70%"
"Mar 18, 2019","77.7970","78.0610","78.1890","77.6520","-0.40%"
"Mar 15, 2019","78.1120","78.4200","78.5500","77.9990","-0.38%"
"Mar 14, 2019","78.4105","78.7365","79.0045","78.3165","-0.43%"
"Mar 13, 2019","78.7520","78.6010","78.8490","78.3910","0.20%"
"Mar 12, 2019","78.5925","78.5745","78.7395","78.2905","0.02%"
"Mar 11, 2019","78.5780","78.6900","78.7460","78.3760","-0.15%"
"Mar 08, 2019","78.6960","78.4850","78.8860","78.2390","0.27%"
"Mar 07, 2019","78.4880","79.2530","79.3550","78.3620","-0.95%"
"Mar 06, 2019","79.2395","79.7525","79.8695","79.1655","-0.59%"
"Mar 05, 2019","79.7100","80.3980","80.4980","79.6590","-0.87%"
"Mar 04, 2019","80.4080","80.7940","80.9220","80.1840","-0.45%"
"Mar 01, 2019","80.7730","80.6340","80.8830","80.4150","0.27%"
"Feb 28, 2019","80.5525","80.9615","81.1405","80.5165","-0.49%"
"Feb 27, 2019","80.9510","80.8770","81.3310","80.7000","0.00%"
"Feb 26, 2019","80.9510","80.5240","81.0970","80.4310","0.61%"
"Feb 25, 2019","80.4610","80.5410","80.7580","80.2840","-0.15%"
"Feb 22, 2019","80.5785","80.6755","80.8545","80.4785","-0.12%"
"Feb 21, 2019","80.6725","80.5105","80.9435","80.4815","0.21%"
"Feb 20, 2019","80.5045","80.8685","81.0065","80.4375","-0.44%"
"Feb 19, 2019","80.8615","80.7305","81.0205","80.5485","0.15%"
"Feb 18, 2019","80.7415","80.5285","80.9335","80.4995","0.22%"
"Feb 15, 2019","80.5605","80.2175","80.6785","80.1195","0.42%"
"Feb 14, 2019","80.2210","79.8570","80.4800","79.7150","0.51%"
"Feb 13, 2019","79.8125","79.8805","80.2415","79.7885","-0.09%"
"Feb 12, 2019","79.8845","80.2365","80.4185","79.6145","-0.42%"
"Feb 11, 2019","80.2175","80.6215","80.7145","80.1275","-0.53%"
"Feb 08, 2019","80.6450","80.8640","81.0260","80.4350","-0.32%"
"Feb 07, 2019","80.9005","81.2915","81.5475","80.8225","-0.49%"
"Feb 06, 2019","81.2950","81.5870","81.6880","81.2740","-0.43%"
"Feb 05, 2019","81.6480","82.0320","82.1470","81.5470","-0.47%"
"Feb 04, 2019","82.0325","81.8335","82.2875","81.7625","0.24%"
"Feb 01, 2019","81.8355","81.2265","82.0735","81.1485","0.75%"
"Jan 31, 2019","81.2275","81.7645","81.9005","81.0825","-0.66%"
"Jan 30, 2019","81.7670","81.6470","81.9450","81.2240","0.19%"
"Jan 29, 2019","81.6130","81.2330","81.7050","81.1550","0.49%"
"Jan 28, 2019","81.2115","80.8685","81.3965","80.8185","0.42%"
"Jan 25, 2019","80.8755","80.2725","80.9895","80.2085","0.75%"
