date,price
2003-01-10,50.7115
2003-01-13,50.5165
2003-01-14,50.556
2003-01-15,50.558
2003-01-16,50.8685
2003-01-17,51.1225
2003-01-20,51.1905
2003-01-21,51.399
2003-01-22,51.3775
2003-01-23,51.4935
2003-01-24,51.8165
2003-01-27,52.0545
2003-01-28,51.8095
2003-01-29,51.9565
2003-01-30,51.736
2003-01-31,51.4755
2003-02-03,51.5015
2003-02-04,51.9685
2003-02-05,51.3905
2003-02-06,51.569
2003-02-07,51.596
2003-02-10,51.0815
2003-02-11,51.074
2003-02-12,51.0925
2003-02-13,51.7605
2003-02-14,51.617
2003-02-17,51.2095
2003-02-18,50.938
2003-02-19,51.1975
2003-02-20,51.514
2003-02-21,51.256
2003-02-24,51.471
2003-02-25,51.2425
2003-02-26,51.472
2003-02-27,51.183
2003-02-28,51.412
2003-03-03,51.902
2003-03-04,51.896
2003-03-05,52.222
2003-03-06,52.2
2003-03-07,52.451
2003-03-10,52.684
2003-03-11,52.563
2003-03-12,52.396
2003-03-13,51.3855
2003-03-14,51.1425
2003-03-17,50.6165
2003-03-18,50.6495
2003-03-19,50.3065
2003-03-20,50.6715
2003-03-21,50.1405
2003-03-24,50.7095
2003-03-25,50.7
2003-03-26,50.8165
2003-03-27,50.7895
2003-03-28,51.205
2003-03-31,51.8795
2003-04-01,51.8095
2003-04-02,50.982
2003-04-03,50.9645
2003-04-04,50.847
2003-04-07,50.679
2003-04-08,50.7725
2003-04-09,51.069
2003-04-10,51.079
2003-04-11,50.868
2003-04-14,51.069
2003-04-15,51.0805
2003-04-16,51.6465
2003-04-17,51.421
2003-04-18,51.4235
2003-04-21,51.4575
2003-04-22,51.887
2003-04-23,51.9175
2003-04-24,52.179
2003-04-25,52.213
2003-04-28,51.959
2003-04-29,52.4115
2003-04-30,52.93
2003-05-01,53.132
2003-05-02,53.13
2003-05-05,53.3545
2003-05-06,54.0355
2003-05-07,53.6415
2003-05-08,54.2415
2003-05-09,54.1615
2003-05-12,54.506
2003-05-13,54.2665
2003-05-14,54.0995
2003-05-15,53.601
2003-05-16,54.5635
2003-05-19,54.7135
2003-05-20,54.9295
2003-05-21,54.524
2003-05-22,54.8125
2003-05-23,55.423
2003-05-26,55.68
2003-05-27,55.292
2003-05-28,55.1905
2003-05-29,55.93
2003-05-30,55.4275
2003-06-02,55.413
2003-06-03,55.004
2003-06-04,54.4895
2003-06-05,55.4135
2003-06-06,54.791
2003-06-09,54.85
2003-06-10,54.555
2003-06-11,54.837
2003-06-12,54.867
2003-06-13,55.339
2003-06-16,55.1235
2003-06-17,54.8495
2003-06-18,54.398
2003-06-19,54.605
2003-06-20,53.9635
2003-06-23,53.8885
2003-06-24,53.5515
2003-06-25,53.663
2003-06-26,53.1535
2003-06-27,53.121
2003-06-30,53.42
2003-07-01,53.6545
2003-07-02,53.4925
2003-07-03,53.3
2003-07-04,53.2125
2003-07-07,52.3815
2003-07-08,52.3595
2003-07-09,52.4835
2003-07-10,52.5785
2003-07-11,51.9815
2003-07-14,52.002
2003-07-15,51.4965
2003-07-16,51.7915
2003-07-17,51.7585
2003-07-18,52.0675
2003-07-21,52.4185
2003-07-22,52.229
2003-07-23,52.978
2003-07-24,52.879
2003-07-25,53.0875
2003-07-28,52.9835
2003-07-29,52.6855
2003-07-30,52.3845
2003-07-31,51.848
2003-08-01,52.046
2003-08-04,52.402
2003-08-05,52.53
2003-08-06,52.2105
2003-08-07,52.2705
2003-08-08,52.0055
2003-08-11,52.228
2003-08-12,51.7585
2003-08-13,51.944
2003-08-14,51.7675
2003-08-15,51.6955
2003-08-18,51.116
2003-08-19,51.072
2003-08-20,50.9715
2003-08-21,50.099
2003-08-22,49.89
2003-08-25,49.823
2003-08-26,49.7775
2003-08-27,49.783
2003-08-28,49.9185
2003-08-29,50.3545
2003-09-01,50.264
2003-09-02,49.5895
2003-09-03,49.7735
2003-09-04,50.28
2003-09-05,50.9225
2003-09-08,50.7465
2003-09-09,51.4175
2003-09-10,51.2365
2003-09-11,51.2025
2003-09-12,51.6565
2003-09-15,51.646
2003-09-16,51.258
2003-09-17,51.81
2003-09-18,51.6825
2003-09-19,52.2275
2003-09-22,52.464
2003-09-23,52.4615
2003-09-24,52.591
2003-09-25,52.691
2003-09-26,52.459
2003-09-29,53.0915
2003-09-30,53.228
2003-10-01,53.3785
2003-10-02,53.203
2003-10-03,52.482
2003-10-06,53.1825
2003-10-07,53.29
2003-10-08,53.5225
2003-10-09,53.1085
2003-10-10,53.5435
2003-10-13,53.1635
2003-10-14,53.5575
2003-10-15,53.093
2003-10-16,52.5275
2003-10-17,52.9345
2003-10-20,52.709
2003-10-21,52.8835
2003-10-22,53.4825
2003-10-23,53.5355
2003-10-24,53.424
2003-10-27,53.3345
2003-10-28,52.845
2003-10-29,52.8405
2003-10-30,52.668
2003-10-31,52.499
2003-11-03,51.943
2003-11-04,52.1355
2003-11-05,51.7615
2003-11-06,51.6435
2003-11-07,52.2535
2003-11-10,51.923
2003-11-11,52.0895
2003-11-12,52.7205
2003-11-13,53.2575
2003-11-14,53.4345
2003-11-17,53.448
2003-11-18,54.4755
2003-11-19,54.2355
2003-11-20,54.486
2003-11-21,54.463
2003-11-24,53.947
2003-11-25,54.0905
2003-11-26,54.7875
2003-11-27,54.647
2003-11-28,54.892
2003-12-01,54.7085
2003-12-02,55.2375
2003-12-03,55.212
2003-12-04,55.138
2003-12-05,55.436
2003-12-08,55.6255
2003-12-09,55.823
2003-12-10,55.6245
2003-12-11,55.5635
2003-12-12,55.9395
2003-12-15,56.0125
2003-12-16,56.109
2003-12-17,56.421
2003-12-18,56.5775
2003-12-19,56.2465
2003-12-22,56.428
2003-12-23,56.341
2003-12-24,56.63
2003-12-25,56.6165
2003-12-26,56.4945
2003-12-29,56.89
2003-12-30,57.136
2003-12-31,57.433
2004-01-01,57.159
2004-01-02,57.4355
2004-01-05,57.724
2004-01-06,58.0725
2004-01-07,57.5515
2004-01-08,58.0735
2004-01-09,58.2915
2004-01-12,57.824
2004-01-13,57.896
2004-01-14,57.368
2004-01-15,57.1395
2004-01-16,56.237
2004-01-19,56.121
2004-01-20,57.0795
2004-01-21,57.268
2004-01-22,57.713
2004-01-23,57.133
2004-01-26,56.53
2004-01-27,57.3675
2004-01-28,56.6335
2004-01-29,56.237
2004-01-30,56.452
2004-02-02,56.2765
2004-02-03,56.7635
2004-02-04,56.744
2004-02-05,56.696
2004-02-06,57.537
2004-02-09,57.387
2004-02-10,57.3685
2004-02-11,57.9915
2004-02-12,57.891
2004-02-13,57.5675
2004-02-16,57.769
2004-02-17,58.0595
2004-02-18,57.34
2004-02-19,57.554
2004-02-20,56.7275
2004-02-23,56.846
2004-02-24,57.393
2004-02-25,56.477
2004-02-26,56.235
2004-02-27,56.4675
2004-03-01,56.2615
2004-03-02,55.2725
2004-03-03,55.261
2004-03-04,55.2115
2004-03-05,56.0965
2004-03-08,56.0525
2004-03-09,55.6575
2004-03-10,55.3275
2004-03-11,55.8585
2004-03-12,55.311
2004-03-15,55.483
2004-03-16,55.4435
2004-03-17,55.31
2004-03-18,56.0215
2004-03-19,55.439
2004-03-22,55.559
